,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
194.0,7:00p,Orlando Magic,98,Detroit Pistons,115,Box Score,,"18,128",
195.0,7:00p,Brooklyn Nets,110,Philadelphia 76ers,123,Box Score,,"20,547",
196.0,7:30p,Dallas Mavericks,99,Miami Heat,105,Box Score,,"19,851",
197.0,7:30p,Toronto Raptors,117,New York Knicks,92,Box Score,,"19,812",
198.0,8:00p,Denver Nuggets,85,Houston Rockets,112,Box Score,,"18,055",
199.0,8:00p,Los Angeles Clippers,118,Milwaukee Bucks,128,Box Score,,"17,922",
200.0,8:00p,Sacramento Kings,118,New Orleans Pelicans,121,Box Score,,"13,976",
201.0,8:30p,Cleveland Cavaliers,110,San Antonio Spurs,116,Box Score,,"18,756",
202.0,7:00p,Indiana Pacers,112,Boston Celtics,114,Box Score,,"18,624",
203.0,7:30p,Portland Trail Blazers,118,Atlanta Hawks,98,Box Score,,"16,182",
204.0,8:00p,Golden State Warriors,130,Minnesota Timberwolves,131,Box Score,OT,"18,978",
205.0,8:00p,Denver Nuggets,115,Oklahoma City Thunder,105,Box Score,,"18,203",
206.0,9:00p,Washington Wizards,124,Utah Jazz,128,Box Score,,"18,306",
207.0,10:30p,Charlotte Hornets,115,Los Angeles Lakers,129,Box Score,,"18,997",
208.0,3:30p,Cleveland Cavaliers,108,Los Angeles Clippers,132,Box Score,,"16,439",
209.0,6:00p,Boston Celtics,96,Brooklyn Nets,110,Box Score,,"17,732",
210.0,6:00p,Sacramento Kings,108,Houston Rockets,119,Box Score,,"18,055",
211.0,7:00p,Portland Trail Blazers,90,Detroit Pistons,99,Box Score,,"18,592",
212.0,7:00p,Orlando Magic,121,Indiana Pacers,116,Box Score,,"17,923",
213.0,7:30p,Miami Heat,100,New York Knicks,92,Box Score,,"19,812",
214.0,8:00p,Toronto Raptors,124,Chicago Bulls,101,Box Score,,"21,238",
215.0,8:00p,Philadelphia 76ers,118,Minnesota Timberwolves,109,Box Score,,"18,978",
216.0,10:00p,Memphis Grizzlies,120,Phoenix Suns,115,Box Score,,"16,647",
217.0,12:30p,Milwaukee Bucks,135,Atlanta Hawks,136,Box Score,OT,"16,660",
218.0,3:30p,Dallas Mavericks,106,Oklahoma City Thunder,103,Box Score,,"18,203",
219.0,6:00p,Los Angeles Lakers,130,New Orleans Pelicans,102,Box Score,,"18,562",
220.0,7:00p,Sacramento Kings,113,San Antonio Spurs,106,Box Score,,"18,407",
221.0,8:00p,Washington Wizards,95,Denver Nuggets,90,Box Score,,"17,356",
222.0,8:30p,Charlotte Hornets,90,Golden State Warriors,137,Box Score,,"19,596",
223.0,10:30p,Memphis Grizzlies,96,Los Angeles Clippers,113,Box Score,,"16,740",
